BC143784	-0.428807	0.622774
AK222574	-0.636455	0.927146
EU832479	0.427947	0.832368
DQ892811	-0.0070348	0.963217
DQ572402	0.686628	0.113898
EF612689	0.872359	0.688364
CR936801	-0.385776	0.860655
NM_032590	0.896917	0.681841
BC093063	0.12639	0.149974
AY236538	0.972421	0.815024
X14454	0.82444	0.683966
AK025147	-0.393938	0.731797
AK290366	-0.447579	0.615239
AK092243	-0.410296	0.518275
NM_001099223	0.477848	0.744021
AF248649	-0.193081	0.160928
BC092446	-0.955198	0.105879
BQ925812	0.863998	0.615549
BC001263	0.266568	0.00668715
DB219691	-0.570269	0.0810032
NM_005781	-0.67707	0.0918036
NM_145114	-0.731733	0.0717962
U30897	-0.462305	0.0400667
NM_144706	0.48816	0.944833
AA931120	-0.557279	0.600565
AF062483	-0.127814	0.173561
NM_015983	-0.610212	0.189121
BC038296	0.859783	0.490544
BC036898	0.592649	0.184799
AW373287	-0.544431	0.849808
NR_037927	-0.0114259	0.985739
DQ892077	-0.655547	0.950103
NR_037575	-0.23533	0.447633
BC136377	-0.280217	0.144467
AB081509	0.633278	0.181711
NM_001146099	0.665946	0.406296
AK314229	-0.157098	0.533254
NM_014777	-0.139365	0.00242131
NM_006696	0.329319	0.256788
BC156835	0.183847	0.35785
BC047292	0.0961074	0.780689
NM_003898	0.117761	0.301692
AY358631	-0.0787704	0.920918
AK298367	0.772362	0.879474
AF112218	0.940686	0.752305
AK055015	-0.968913	0.992342
BM504223	-0.0884737	0.520498
NM_152881	-0.822214	0.785105
JF432541	0.435388	0.545402
DQ489735	0.488271	0.687323
BC027853	0.222587	0.0823415
U79734	-0.245995	0.40497
GQ397482	0.374756	0.405015
BC001532	0.108933	0.618265
BC156822	-0.165076	0.844879
AK293750	0.10302	0.81315
AK303086	-0.36921	0.859363
EF432655	-0.56527	0.115356
AL833319	-0.828257	0.154633
BC027852	0.60436	0.964472
EU832283	-0.606416	0.77805
AY532319	-0.947034	0.113879
BC039416	-0.626755	0.925405
AF006084	0.0994199	0.0311733
DQ896027	0.753111	0.950212
BX640875	-0.0343983	0.432901
AK025452	0.239615	0.230256
AK292159	0.401097	0.980993
AL542248	-0.67297	0.630785
AB445680	0.283582	0.636527
AK225294	0.97443	0.386914
AF249669	-0.476551	0.457809
A21522	-0.771252	0.358105
CB989352	0.570698	0.305116
NM_001040626	0.461348	0.645078
BC012947	0.678731	0.52061
AK307100	-0.237182	0.619245
AK313264	0.20952	0.535555
DQ892286	0.460223	0.376313
AK131205	-0.756516	0.366922
BM677370	0.621559	0.897704
AK300780	-0.306571	0.015903
NR_033951	-0.942433	0.849642
BG435728	0.879118	0.762706
NM_020535	0.931605	0.492718
XR_132688	0.109886	0.652237
S73849	0.946258	0.90373
BC068467	-0.949911	0.574323
AK025166	0.458752	0.15167
AF215924	-0.901035	0.534939
BC009824	-0.920264	0.49998
BE870234	-0.579331	0.475991
NR_003039	0.308099	0.0489728
NR_033194	0.716627	0.0395083
NM_001167617	0.28111	0.506435
AK126240	0.154232	0.879055
BC012470	-0.631293	0.201457
NM_182562	-0.736079	0.822207
BC137301	0.470686	0.893488
BC041942	-0.68063	0.422292
